symbol,turnover24h,age_days,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_median,validation_win_rate,stage1_score
BCHUSDT,8005247.032,3137.58936818287,19,0.015138568325805846,0.0008620489703044667,-0.004075690989914892,0.3684210526315789,-0.048357276518251724,0.009874753637697742,14,0.005212344074497333,-0.0036773684322606295,0.35714285714285715,0.679766734279919
GRIFFAINUSDT,232502.0291,592.2282686458333,17,0.1687919857254192,0.009890508427549231,-0.007393296297215301,0.35294117647058826,-0.03291818462066387,0.03097232659964133,14,0.13367930018096108,-0.007392024525669726,0.35714285714285715,0.6783975659229209
MAVIAUSDT,140645.5341,909.2057339236111,13,0.06158465110781486,0.0048273001928387065,-0.005573703991507694,0.38461538461538464,-0.01422353607079263,0.012817401856858979,8,0.048150090195476336,-0.0060400109007829874,0.375,0.676369168356998
RAYDIUMUSDT,127984.0281,791.2060464236112,16,0.05668978941099323,0.003558050998976936,-0.0054463344533828275,0.4375,-0.031378216863481634,0.02247406131505625,14,0.03346366366686149,-0.0054463344533828275,0.42857142857142855,0.6758620689655173
ATOMUSDT,13846452.0812,1758.5893681828704,29,0.008221529244380799,0.00031228979785868986,-0.0024758427839055566,0.3448275862068966,-0.04545693493777225,0.029227274333976094,27,-0.020409238671981744,-0.003446308145735543,0.2962962962962963,0.675
DIAUSDT,333359.8813,377.2637547569444,10,0.005282432398578507,0.0005868872398607783,-0.003066707452454908,0.4,-0.024424532283492617,0.030450709007274535,8,-0.024424532283492395,-0.0071703932692882555,0.25,0.6717038539553754
ARUSDT,454750.7483,1688.353696886574,24,0.024034206451497786,0.0010519492160432123,-0.004770302384314195,0.375,-0.029410292572219388,0.008321670712652107,20,0.015582860306612822,-0.004770302384314195,0.35,0.6713488843813389
UMAUSDT,90691.8472,1153.2634191087964,23,0.026122461559931365,0.0011733915395130954,-0.0031873048844772702,0.391304347826087,-0.033069923204834484,0.04304464478221881,19,-0.01622383404865757,-0.0038220525061140034,0.3157894736842105,0.6691176470588236
LINKUSDT,21294260.7297,3137.58936818287,18,0.01293264024794083,0.0007685933287850452,-0.0046263848401904,0.3333333333333333,-0.03570139990514709,-0.013215868720193313,14,0.02649871247343749,-0.0042785158126461545,0.35714285714285715,0.6674949290060851
HYPERUSDT,3327336.2869,469.08442605324075,16,0.020936887261078452,0.0014232506514715445,-0.005399000621597982,0.375,-0.0328908415127499,0.016700334962991503,11,0.004166962626447335,-0.006354285483315957,0.2727272727272727,0.6657707910750507
MINAUSDT,170351.3513,1581.295236238426,21,0.0599549993353079,0.0028884156597575516,-0.005130370399734518,0.42857142857142855,-0.05817485249351295,0.039145822695162646,19,0.02002527093471196,-0.0052210173294605635,0.3684210526315789,0.6628296146044625
PIXELUSDT,185140.2518,896.2517524421296,17,0.11766630544668044,0.00679433658209091,-0.0068794056498857606,0.4117647058823529,-0.05628810468371215,0.0697802943485677,14,0.044762472585338164,-0.007031374677596013,0.35714285714285715,0.6622718052738337
SKRUSDT,2098924.1545,196.15201864583332,12,0.06036718282977849,0.005158227759601591,-0.006473004403483139,0.4166666666666667,-0.0532970260020712,0.02593866209195217,8,0.033558069317345396,-0.0018372214956927082,0.5,0.660446247464503
ALGOUSDT,10373638.532,1776.5893681828704,20,-0.010379093470125667,-0.0004914624452940051,-0.002209811290674323,0.35,-0.02773185472543982,-0.020611692272345827,17,0.010447948705821553,-0.001127242651736803,0.4117647058823529,0.6581643002028398
CROSSUSDT,154005.1928,390.1298774421296,19,0.021596892513614296,0.0012108972299724214,-0.003962994972495081,0.3684210526315789,-0.027606514547056316,-0.006218092843752521,15,0.027989023705372817,-0.003138275124732636,0.4,0.6579614604462475
SUPERUSDT,165707.4915,985.3279561458334,28,0.016726193213982166,0.0006478705114973553,-0.004170455989986332,0.39285714285714285,-0.02673798381003034,-0.004973359038400016,25,0.02180801132260246,-0.004240661355681795,0.4,0.6564908722109534
ARIAUSDT,177042.2306,335.05667142361114,17,0.10872385867904932,0.006358098415613881,-0.006078125000000044,0.4117647058823529,-0.0841500253512032,0.21059550075787725,10,-0.0841500253512033,-0.010194102513972625,0.1,0.6541582150101419
ATUSDT,93774.1725,279.01047929398146,12,0.012904326434114877,0.001123958693214467,-0.0042898950920552395,0.4166666666666667,-0.01643763411080379,-0.007344579717274424,11,0.0203987262222598,-0.003883718153062209,0.45454545454545453,0.6534482758620689
