symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
MASKUSDT,117091.207,1706.1108728125,structure_atr_trail_1.5,0.7757142857142857,best_daily_stop_exit_validation_score,63,0.08022097821195362,0.001291362170840149,-0.00012816041848317996,0.49206349206349204,-0.057396185183486215,0.04121740915312189,20,0.037459582135257685,0.0018869529518365242,5.3761864296620644e-05,0.5,1.9680825102447839,0.007976197910085636,relaxed,True,0.46030769230769236
WOOUSDT,287936.9007,1729.5893681828704,structure_fixed6,0.8983333333333333,best_daily_stop_exit_validation_score,43,0.15896932498041605,0.003596879448046511,-0.004146945566734893,0.4883720930232558,-0.06524972989518185,0.12878738251124644,12,0.02673837689611913,0.0022550300734545483,-0.0011664309063280079,0.5,1.7631554539985526,0.0068183892471802565,relaxed,True,0.45580769230769236
IOUSDT,387701.3305,784.013673738426,structure_atr_trail_1.5,0.8133333333333334,best_daily_stop_exit_validation_score,56,0.10746743054188546,0.001989040144171696,-0.0028335801675898322,0.4107142857142857,-0.10265014775736392,0.05576000144648363,25,0.048976499417062724,0.0019952782477621247,0.0007111797074218504,0.52,1.4991993534351098,0.013173086438758252,relaxed,True,0.45269230769230767
RLCUSDT,214770.4035,1231.2919260532408,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,29,0.07158331166063325,0.002527782485597137,-0.0007750674797560855,0.4482758620689655,-0.06325545378026443,0.03794571023090687,7,0.03240786208581481,0.004723555422293191,-0.0007750674797560855,0.42857142857142855,2.379269176332537,0.009857097533148229,relaxed,True,0.450923076923077
DIAUSDT,333359.8813,377.2637547569444,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,35,0.05283577234514447,0.0015722824322844631,-0.005168307773715907,0.34285714285714286,-0.06559825722677715,0.02507248602914869,8,0.027084217647420417,0.003410652618671642,0.003936170588430377,0.5,1.9205950836015908,0.012154533366839693,relaxed,True,0.4404615384615385
GMTUSDT,641666.7159,1599.363546423611,structure_fixed6,0.945,best_daily_stop_exit_validation_score,63,0.1751589870241872,0.0026832132879035537,-0.004925532977780866,0.4603174603174603,-0.0672366513891739,0.14813868932595198,18,0.023534001553503936,0.0013578101952708328,-0.005459077567602443,0.3888888888888889,1.3029856830534057,0.02061813189493822,relaxed,True,0.4318461538461538
TRUMPUSDT,7894487.5593,563.3172964236111,structure_fixed6,0.8050000000000002,best_daily_stop_exit_validation_score,92,0.10548548784285017,0.0012048216700205339,-0.005807323334585556,0.3695652173913043,-0.08244311587559594,0.06414066253249318,28,0.03885278212371124,0.0014857412977798254,-0.006256951977793245,0.32142857142857145,1.2810875289456611,0.013538227076454135,relaxed,True,0.4308076923076923
1000TAGUSDT,426514.9844,372.2299005902778,structure_fixed6,,fallback_no_strategy_passed_robust_filter,42,0.06919396106595577,0.001989311601687828,-0.007514733797278405,0.30952380952380953,-0.1427386498059111,0.02610829174442819,6,0.04198939787171985,0.007557951410338141,-0.00454724054271366,0.3333333333333333,1.9516506980775508,0.02729581738150222,relaxed,True,0.42982692307692316
SKYUSDT,441659.514,358.23652096064814,structure_rolling_high,0.8850000000000001,best_daily_stop_exit_validation_score,40,0.1676913057127989,0.003996197269632187,-0.0033004949987052714,0.475,-0.04961924744628321,0.15276088524494003,6,0.012951879838190683,0.002244202622579609,-0.0051127752492100545,0.3333333333333333,1.4870458823613328,0.007849439636295807,relaxed,True,0.4244423076923078
AVAAIUSDT,460119.1166,573.2337431828704,structure_fixed6,1.0,best_daily_stop_exit_validation_score,52,0.10710690080518459,0.0022010966652816232,-0.007526840299416636,0.38461538461538464,-0.11668923769108552,0.07538180704630149,10,0.02950123718944142,0.0032138542554837946,-0.003026083071269169,0.4,1.4334779657738528,0.019840263908690536,relaxed,True,0.4083461538461539
UNIUSDT,38970396.1998,1708.5893681828704,structure_fixed6,0.8300000000000002,best_daily_stop_exit_validation_score,45,0.04242528634068665,0.0010417952874688188,-0.005519530378624181,0.4,-0.07472739068686529,0.007869312029912479,10,0.03428616577398946,0.003554373430954272,-0.0063174600291083785,0.4,1.6724287493496799,0.015604393974319786,relaxed,True,0.4066730769230769
RESOLVUSDT,574452.0215,420.03961123842595,structure_mfe50_act125,1.0,best_daily_stop_exit_validation_score,55,0.07571343239395278,0.0016298751814896868,-0.006660861411117435,0.4909090909090909,-0.11312086577152913,0.04401060953030278,12,0.030366379971859203,0.002661256018001138,-0.0016587393412255671,0.5,1.5544328060815638,0.016955184164034076,relaxed,True,0.40155769230769234
